Year,Count,Average Magnitude
1471.0,1,8.0
1513.0,1,8.7
1543.0,1,
1552.0,1,7.6
1555.0,1,8.4
1578.0,1,
1581.0,1,6.4
1582.0,2,8.0
1584.0,1,8.4
1586.0,1,8.5
1587.0,1,6.2
1590.0,1,7.7
1594.0,1,
1600.0,2,8.0
1604.0,1,8.5
1609.0,1,8.6
1615.0,1,7.5
1619.0,1,8.6
1630.0,1,8.1
1647.0,1,
1650.0,1,8.1
1654.0,1,
1655.0,1,7.7
1657.0,1,
1658.0,1,
1664.0,1,7.3
1678.0,1,8.4
1681.0,1,7.5
1687.0,1,8.5
1699.0,1,7.8
1705.0,1,
1707.0,1,5.8
1715.0,1,7.5
1716.0,2,8.7
1725.0,3,7.65
1739.0,1,
1746.0,1,8.0
1747.0,1,
1784.0,1,8.0
1799.0,1,
1806.0,1,7.5
1813.0,1,
1821.0,1,
1828.0,1,8.3
1831.0,1,7.8
1833.0,1,7.7
1836.0,1,7.5
1840.0,1,
1845.0,1,
1846.0,1,7.9
1847.0,1,
1852.0,1,
1860.0,1,
1861.0,1,
1865.0,1,
1868.0,3,8.5
1869.0,5,7.15
1870.0,1,
1871.0,3,7.3
1872.0,1,6.5
1873.0,1,
1877.0,6,8.3
1878.0,5,7.9
1881.0,2,
1882.0,1,
1885.0,1,
1892.0,1,
1895.0,1,
1897.0,1,7.7
1899.0,1,6.9
1903.0,1,
1906.0,2,7.9
1907.0,2,7.6
1908.0,1,
1911.0,1,7.3
1912.0,1,7.0
1913.0,4,7.2250000000000005
1914.0,4,7.2
1915.0,1,7.6
1916.0,1,7.5
1922.0,2,7.300000000000001
1923.0,1,
1928.0,5,7.0200000000000005
1929.0,1,7.5
1932.0,1,6.8
1933.0,2,6.55
1934.0,1,6.9
1936.0,1,7.3
1937.0,1,6.5
1939.0,2,
1940.0,2,7.75
1942.0,1,8.2
1943.0,1,5.0
1946.0,2,7.15
1947.0,1,7.3
1948.0,3,6.966666666666666
1950.0,5,7.225
1951.0,1,7.9
1952.0,1,7.5
1953.0,3,6.766666666666667
1955.0,1,
1956.0,1,7.1
1957.0,2,7.4
1958.0,3,7.4
1959.0,3,7.45
1960.0,3,7.166666666666667
1961.0,1,7.5
1962.0,1,6.3
1963.0,3,7.433333333333333
1966.0,1,8.1
1967.0,2,7.25
1968.0,1,7.0
1969.0,2,6.050000000000001
1970.0,5,6.660000000000001
1971.0,2,6.0
1972.0,1,6.1
1974.0,3,6.766666666666666
1976.0,1,7.3
1979.0,1,6.9
1980.0,1,4.9
1981.0,2,5.0
1982.0,1,6.1
1983.0,1,6.5
1985.0,1,6.1
1986.0,2,4.949999999999999
1987.0,4,6.425000000000001
1988.0,1,6.7
1990.0,2,5.7
1991.0,3,5.933333333333334
1993.0,1,6.3
1994.0,1,8.2
1995.0,1,8.0
1996.0,2,7.6
1998.0,1,6.6
1999.0,2,5.6
2001.0,4,7.1000000000000005
2002.0,1,5.6
2005.0,5,6.340000000000001
2006.0,1,6.7
2007.0,3,6.733333333333333
2008.0,3,5.666666666666667
2009.0,1,4.6
2010.0,1,6.2
2011.0,1,6.9
2012.0,2,6.35
2013.0,2,6.199999999999999
2014.0,4,6.924999999999999
2015.0,3,6.566666666666666
2016.0,2,5.85
2017.0,3,5.933333333333334
2018.0,1,7.1
2019.0,2,7.5
2020.0,1,4.5
2021.0,3,6.5
2022.0,4,5.9750000000000005
