Year,Count,Average Magnitude
1768.0,1,7.5
1857.0,1,8.0
1859.0,1,
1864.0,1,7.8
1873.0,1,8.0
1875.0,1,7.0
1878.0,1,
1895.0,1,7.3
1897.0,1,6.5
1899.0,2,
1900.0,3,6.933333333333333
1902.0,1,7.8
1905.0,1,7.5
1906.0,3,7.666666666666667
1907.0,2,7.550000000000001
1910.0,1,6.0
1911.0,2,7.7
1912.0,2,7.2
1913.0,2,7.25
1914.0,2,7.85
1915.0,2,6.0
1916.0,4,7.9
1917.0,1,7.5
1918.0,1,7.5
1919.0,2,8.2
1920.0,1,7.7
1921.0,1,
1922.0,1,6.9
1923.0,2,7.1
1926.0,1,7.9
1930.0,2,6.55
1931.0,1,7.0
1933.0,1,
1934.0,1,
1935.0,1,7.8
1937.0,2,
1938.0,3,7.5
1939.0,1,7.7
1941.0,1,7.4
1943.0,1,7.6
1944.0,1,7.5
1945.0,1,7.8
1946.0,1,7.7
1947.0,1,7.3
1949.0,1,7.5
1951.0,2,6.65
1953.0,1,7.4
1954.0,1,5.4
1955.0,2,6.9
1957.0,1,7.3
1959.0,1,7.3
1960.0,1,6.6
1964.0,1,7.6
1967.0,1,6.4
1968.0,4,7.475
1969.0,1,5.4
1970.0,1,7.3
1971.0,4,7.725
1972.0,1,7.1
1973.0,1,5.5
1974.0,2,7.05
1975.0,2,7.800000000000001
1976.0,2,7.1
1977.0,1,5.5
1979.0,3,6.733333333333334
1981.0,1,6.7
1983.0,2,7.0
1984.0,1,6.6
1985.0,4,6.925000000000001
1986.0,1,7.1
1987.0,3,7.366666666666666
1988.0,4,6.025
1989.0,4,5.65
1990.0,1,7.5
1993.0,1,6.9
1995.0,2,7.300000000000001
1996.0,2,7.699999999999999
1998.0,1,7.0
2000.0,3,7.866666666666667
2002.0,4,7.075000000000001
2004.0,3,7.133333333333333
2005.0,1,7.7
2008.0,1,5.9
2009.0,3,6.0
2010.0,2,6.1
2014.0,3,6.366666666666667
2015.0,4,7.15
2016.0,1,7.9
2017.0,1,7.9
2018.0,5,6.5200000000000005
2019.0,2,7.4
2020.0,1,7.0
2021.0,1,5.9
2022.0,1,7.6
2023.0,1,5.1
